id;mecha_list
316554;Multi-Use Cards
316554;Open Drafting
316554;Solo / Solitaire Game
316554;Tags
316554;Take That
316554;Turn Order: Progressive
316554;Variable Player Powers
316554;Worker Placement
115746;Action Drafting
115746;Area Majority / Influence
115746;Area Movement
115746;Campaign / Battle Card Driven
115746;Card Play Conflict Resolution
115746;Dice Rolling
115746;Events
115746;Hand Management
115746;Hidden Movement
115746;Movement Points
115746;Simulation
115746;Team-Based Game
115746;Variable Set-up
187645;Area Majority / Influence
187645;Area Movement
187645;Area-Impulse
187645;Card Play Conflict Resolution
187645;Contracts
187645;Delayed Purchase
187645;Dice Rolling
187645;Die Icon Resolution
187645;Events
187645;Hand Management
187645;Hidden Movement
187645;Income
187645;Once-Per-Game Abilities
187645;Tags
187645;Take That
187645;Team-Based Game
187645;Variable Player Powers
187645;Variable Set-up
187645;Worker Placement, Different Worker Types
162886;Action Retrieval
162886;Area Majority / Influence
162886;Automatic Resource Growth
162886;Campaign / Battle Card Driven
162886;Cooperative Game
162886;Hand Management
162886;Modular Board
162886;Set Collection
162886;Simultaneous Action Selection
162886;Solo / Solitaire Game
162886;Tags
162886;Variable Player Powers
162886;Variable Set-up
220308;End Game Bonuses
220308;Hexagon Grid
220308;Income
220308;Modular Board
220308;Network and Route Building
220308;Solo / Solitaire Game
220308;Tags
220308;Tech Trees / Tech Tracks
220308;Turn Order: Pass Order
220308;Variable Player Powers
220308;Variable Set-up
220308;Victory Points as a Resource
182028;Action Points
182028;Auction/Bidding
182028;Auction: Dutch
182028;Events
182028;Income
182028;Open Drafting
182028;Take That
12333;Action/Event
12333;Advantage Token
12333;Area Majority / Influence
12333;Campaign / Battle Card Driven
12333;Dice Rolling
12333;Events
12333;Hand Management
12333;Simulation
12333;Simultaneous Action Selection
12333;Sudden Death Ending
12333;Tug of War
193738;Deck, Bag, and Pool Building
193738;Hand Management
193738;Ownership
193738;Set Collection
193738;Track Movement
193738;Variable Set-up
169786;Card Play Conflict Resolution
169786;Contracts
169786;End Game Bonuses
169786;Force Commitment
169786;Grid Movement
169786;Hexagon Grid
169786;King of the Hill
169786;Movement Points
169786;Solo / Solitaire Game
169786;Take That
169786;Tech Trees / Tech Tracks
169786;Variable Player Powers
169786;Variable Set-up
169786;Victory Points as a Resource
169786;Zone of Control
84876;Dice Rolling
84876;End Game Bonuses
84876;Grid Coverage
84876;Hexagon Grid
84876;Pattern Building
84876;Tile Placement
84876;Turn Order: Stat-Based
84876;Variable Set-up
84876;Worker Placement with Dice Workers
173346;End Game Bonuses
173346;Income
173346;Layering
173346;Market
173346;Modular Board
173346;Multi-Use Cards
173346;Once-Per-Game Abilities
173346;Open Drafting
173346;Set Collection
173346;Sudden Death Ending
173346;Tags
173346;Tech Trees / Tech Tracks
173346;Tug of War
173346;Variable Player Powers
173346;Variable Set-up
173346;Victory Points as a Resource
167355;Campaign / Battle Card Driven
167355;Cooperative Game
167355;Dice Rolling
167355;Hand Management
167355;Hidden Roles
167355;Modular Board
167355;Player Elimination
167355;Semi-Cooperative Game
167355;Solo / Solitaire Game
167355;Team-Based Game
167355;Traitor Game
167355;Variable Player Powers
28720;Hand Management
28720;Income
28720;Loans
28720;Market
28720;Network and Route Building
28720;Tech Trees / Tech Tracks
28720;Turn Order: Stat-Based
246900;Alliances
246900;Area-Impulse
246900;Dice Rolling
246900;Grid Movement
246900;Hexagon Grid
246900;Income
246900;Modular Board
246900;Passed Action Token
246900;Tech Trees / Tech Tracks
246900;Variable Player Powers
124361;Action Retrieval
124361;Advantage Token
124361;Auction: Dutch
124361;Deck, Bag, and Pool Building
124361;End Game Bonuses
124361;Hand Management
124361;Hidden Victory Points
124361;Movement Points
124361;Open Drafting
124361;Point to Point Movement
124361;Set Collection
124361;Variable Set-up
177736;Automatic Resource Growth
177736;Dice Rolling
177736;Grid Coverage
177736;Income
177736;Push Your Luck
177736;Solo / Solitaire Game
177736;Tile Placement
177736;Turn Order: Pass Order
177736;Worker Placement
266507;Deck, Bag, and Pool Building
266507;Delayed Purchase
266507;End Game Bonuses
266507;Events
266507;Legacy Game
266507;Map Addition
266507;Movement Points
266507;Narrative Choice / Paragraph
266507;Once-Per-Game Abilities
266507;Open Drafting
266507;Pick-up and Deliver
266507;Player Elimination
266507;Point to Point Movement
266507;Push Your Luck
266507;Scenario / Mission / Campaign Game
266507;Set Collection
266507;Variable Player Powers
266507;Variable Set-up
266192;Contracts
266192;Dice Rolling
266192;End Game Bonuses
266192;Hand Management
266192;Once-Per-Game Abilities
266192;Open Drafting
266192;Set Collection
266192;Solo / Solitaire Game
266192;Turn Order: Progressive
120677;End Game Bonuses
120677;Hexagon Grid
120677;Income
120677;Increase Value of Unchosen Resources
120677;Network and Route Building
120677;Tech Trees / Tech Tracks
120677;Turn Order: Pass Order
120677;Variable Player Powers
120677;Variable Set-up
120677;Victory Points as a Resource
205637;Action Points
205637;Area Movement
205637;Communication Limits
205637;Cooperative Game
205637;Deck Construction
205637;Events
205637;Hand Management
205637;Map Deformation
205637;Modular Board
205637;Push Your Luck
205637;Role Playing
205637;Scenario / Mission / Campaign Game
205637;Solo / Solitaire Game
205637;Stat Check Resolution
205637;Variable Player Powers
237182;Action Queue
237182;Action Retrieval
237182;Area Majority / Influence
237182;Area Movement
237182;Dice Rolling
237182;Hand Management
237182;Point to Point Movement
237182;Race
237182;Sudden Death Ending
237182;Variable Player Powers
237182;Variable Set-up
312484;Contracts
312484;Deck, Bag, and Pool Building
312484;Market
312484;Multi-Use Cards
312484;Once-Per-Game Abilities
312484;Resource to Move
312484;Solo / Solitaire Game
312484;Turn Order: Progressive
312484;Worker Placement
164928;Contracts
164928;Deck, Bag, and Pool Building
164928;End Game Bonuses
164928;Events
164928;Point to Point Movement
164928;Simultaneous Action Selection
164928;Tech Trees / Tech Tracks
164928;Turn Order: Progressive
164928;Variable Set-up
199792;Contracts
199792;End Game Bonuses
199792;Hand Management
199792;Income
199792;Open Drafting
199792;Ownership
199792;Set Collection
199792;Solo / Solitaire Game
199792;Variable Set-up
199792;Worker Placement
96848;Card Play Conflict Resolution
96848;Cooperative Game
96848;Deck, Bag, and Pool Building
96848;Dice Rolling
96848;Grid Movement
96848;Hand Management
96848;Hexagon Grid
96848;Modular Board
96848;Open Drafting
96848;Role Playing
96848;Solo / Solitaire Game
96848;Variable Player Powers
183394;Contracts
183394;Hand Management
183394;Solo / Solitaire Game
183394;Turn Order: Auction
183394;Victory Points as a Resource
183394;Worker Placement
183394;Worker Placement, Different Worker Types
251247;Action Retrieval
251247;Contracts
251247;End Game Bonuses
251247;Income
251247;Network and Route Building
251247;Ownership
251247;Solo / Solitaire Game
251247;Turn Order: Stat-Based
251247;Variable Player Powers
251247;Variable Set-up
251247;Worker Placement
341169;Deck, Bag, and Pool Building
341169;Hand Management
341169;Ownership
341169;Set Collection
341169;Solo / Solitaire Game
341169;Track Movement
341169;Variable Set-up
324856;Communication Limits
324856;Cooperative Game
324856;Hand Management
324856;Scenario / Mission / Campaign Game
324856;Trick-taking
175914;Deck, Bag, and Pool Building
175914;Delayed Purchase
175914;Income
175914;Market
175914;Modular Board
175914;Open Drafting
175914;Simultaneous Action Selection
175914;Victory Points as a Resource
192135;Cooperative Game
192135;Deck, Bag, and Pool Building
192135;Dice Rolling
192135;Die Icon Resolution
192135;Hand Management
192135;Resource to Move
192135;Role Playing
192135;Scenario / Mission / Campaign Game
192135;Solo / Solitaire Game
192135;Stat Check Resolution
192135;Tech Trees / Tech Tracks
192135;Turn Order: Role Order
192135;Variable Player Powers
285774;Cooperative Game
285774;Deck Construction
285774;Hand Management
285774;Scenario / Mission / Campaign Game
285774;Solo / Solitaire Game
285774;Turn Order: Progressive
285774;Variable Player Powers
285774;Variable Set-up
256960;Action Points
256960;Area Majority / Influence
256960;Area Movement
256960;Auction: Dutch
256960;Hand Management
256960;Increase Value of Unchosen Resources
256960;Negotiation
256960;Open Drafting
256960;Score-and-Reset Game
256960;Simulation
256960;Solo / Solitaire Game
3076;Action Drafting
3076;End Game Bonuses
3076;Follow
3076;Hidden Victory Points
3076;Increase Value of Unchosen Resources
3076;Turn Order: Progressive
3076;Variable Phase Order
247763;End Game Bonuses
247763;Hand Management
247763;Income
247763;Network and Route Building
247763;Solo / Solitaire Game
247763;Turn Order: Stat-Based
247763;Worker Placement
102794;Automatic Resource Growth
102794;Increase Value of Unchosen Resources
102794;Solo / Solitaire Game
102794;Tile Placement
102794;Turn Order: Claim Action
102794;Worker Placement
170216;Action Points
170216;Area Majority / Influence
170216;Area Movement
170216;Card Play Conflict Resolution
170216;Closed Drafting
170216;Hand Management
170216;Map Reduction
170216;Memory
170216;Open Drafting
170216;Simultaneous Action Selection
185343;Dice Rolling
185343;Solo / Solitaire Game
185343;Turn Order: Claim Action
185343;Variable Player Powers
185343;Worker Placement
185343;Worker Placement, Different Worker Types
31260;Automatic Resource Growth
31260;Closed Drafting
31260;Enclosure
31260;Hand Management
31260;Increase Value of Unchosen Resources
31260;Solo / Solitaire Game
31260;Turn Order: Claim Action
31260;Variable Player Powers
31260;Worker Placement
295947;End Game Bonuses
295947;Hexagon Grid
295947;Open Drafting
295947;Pattern Building
295947;Solo / Solitaire Game
295947;Tile Placement
295947;Variable Set-up
295947;Victory Points as a Resource
184267;Closed Drafting
184267;Contracts
184267;Delayed Purchase
184267;End Game Bonuses
184267;Hand Management
184267;Hexagon Grid
184267;Income
184267;Movement Points
184267;Moving Multiple Units
184267;Set Collection
184267;Solo / Solitaire Game
184267;Tech Trees / Tech Tracks
184267;Tile Placement
184267;Variable Phase Order
184267;Worker Placement
221107;Cooperative Game
221107;Hand Management
221107;Legacy Game
221107;Pick-up and Deliver
221107;Point to Point Movement
221107;Set Collection
221107;Tags
221107;Trading
221107;Variable Player Powers
314040;Action Points
314040;Cooperative Game
314040;Hand Management
314040;Legacy Game
314040;Point to Point Movement
314040;Scenario / Mission / Campaign Game
314040;Set Collection
314040;Tags
314040;Trading
314040;Variable Player Powers
205059;Area Movement
205059;Cooperative Game
205059;Dice Rolling
205059;Hand Management
205059;Map Addition
205059;Modular Board
205059;Role Playing
205059;Scenario / Mission / Campaign Game
205059;Solo / Solitaire Game
205059;Stat Check Resolution
205059;Traitor Game
205059;Variable Player Powers
276025;Contracts
276025;End Game Bonuses
276025;Events
276025;Hand Management
276025;Income
276025;Movement Points
276025;Narrative Choice / Paragraph
276025;Point to Point Movement
276025;Scenario / Mission / Campaign Game
276025;Set Collection
276025;Solo / Solitaire Game
276025;Stock Holding
276025;Tech Trees / Tech Tracks
276025;Track Movement
276025;Variable Set-up
521;Flicking
521;Team-Based Game
126163;Bias
126163;End Game Bonuses
126163;Turn Order: Claim Action
126163;Worker Placement
255984;Action Points
255984;Cooperative Game
255984;Events
255984;Hand Management
255984;Narrative Choice / Paragraph
255984;Push Your Luck
255984;Scenario / Mission / Campaign Game
255984;Solo / Solitaire Game
255984;Storytelling
2651;Auction/Bidding
2651;Auction: Turn Order Until Pass
2651;Catch the Leader
2651;Income
2651;Market
2651;Network and Route Building
2651;Turn Order: Stat-Based
2651;Variable Set-up
284378;Action Points
284378;Hand Management
284378;Variable Phase Order
284378;Worker Placement
161533;Area Majority / Influence
161533;Hand Management
161533;Open Drafting
161533;Solo / Solitaire Game
161533;Tile Placement
284083;Communication Limits
284083;Cooperative Game
284083;Hand Management
284083;Scenario / Mission / Campaign Game
284083;Trick-taking
216132;Commodity Speculation
216132;Contracts
216132;Market
216132;Modular Board
216132;Network and Route Building
216132;Solo / Solitaire Game
216132;Turn Order: Pass Order
216132;Variable Player Powers
244521;Catch the Leader
244521;Deck, Bag, and Pool Building
244521;Delayed Purchase
244521;Dice Rolling
244521;Events
244521;Market
244521;Push Your Luck
244521;Simultaneous Action Selection
244521;Variable Set-up
35677;Automatic Resource Growth
35677;End Game Bonuses
35677;Increase Value of Unchosen Resources
35677;Loans
35677;Ownership
35677;Solo / Solitaire Game
35677;Worker Placement
164153;Dice Rolling
164153;Die Icon Resolution
164153;Grid Movement
164153;Line of Sight
164153;Modular Board
164153;Role Playing
164153;Scenario / Mission / Campaign Game
164153;Square Grid
164153;Team-Based Game
164153;Variable Player Powers
266810;End Game Bonuses
266810;Market
266810;Open Drafting
266810;Solo / Solitaire Game
266810;Worker Placement
266810;Worker Placement, Different Worker Types
209010;Action Queue
209010;Bias
209010;Cooperative Game
209010;Dice Rolling
209010;Modular Board
209010;Open Drafting
209010;Programmed Movement
209010;Role Playing
209010;Slide/Push
209010;Variable Player Powers
125153;Area Majority / Influence
125153;Commodity Speculation
125153;Contracts
125153;Investment
125153;Open Drafting
125153;Point to Point Movement
125153;Resource to Move
125153;Set Collection
125153;Solo / Solitaire Game
125153;Victory Points as a Resource
125153;Worker Placement
125153;Worker Placement, Different Worker Types
55690;Cooperative Game
55690;Critical Hits and Failures
55690;Dice Rolling
55690;Grid Movement
55690;Role Playing
55690;Solo / Solitaire Game
55690;Storytelling
124742;Action Points
124742;Deck Construction
124742;Hand Management
124742;Race
124742;Secret Unit Deployment
124742;Take That
124742;Variable Player Powers
182874;Action Drafting
182874;Contracts
182874;Dice Rolling
182874;End Game Bonuses
182874;Hand Management
182874;Set Collection
182874;Variable Set-up
230802;End Game Bonuses
230802;Open Drafting
230802;Pattern Building
230802;Tile Placement
230802;Turn Order: Claim Action
72125;Dice Rolling
72125;Grid Movement
72125;Hexagon Grid
72125;Map Addition
72125;Modular Board
72125;Player Elimination
72125;Tile Placement
72125;Variable Phase Order
72125;Variable Player Powers
28143;Follow
28143;Hand Management
28143;Income
28143;Market
28143;Multi-Use Cards
28143;Set Collection
28143;Simultaneous Action Selection
28143;Tags
28143;Turn Order: Role Order
28143;Variable Phase Order
28143;Variable Player Powers
253344;Action Points
253344;Cooperative Game
253344;Dice Rolling
253344;Scenario / Mission / Campaign Game
253344;Solo / Solitaire Game
253344;Variable Player Powers
191189;Chit-Pull System
191189;Cooperative Game
191189;Deck, Bag, and Pool Building
191189;Delayed Purchase
191189;Hand Management
191189;Open Drafting
191189;Solo / Solitaire Game
191189;Variable Phase Order
191189;Variable Player Powers
191189;Variable Set-up
201808;Action Points
201808;Deck, Bag, and Pool Building
201808;Delayed Purchase
201808;End Game Bonuses
201808;Movement Points
201808;Open Drafting
201808;Player Elimination
201808;Point to Point Movement
201808;Push Your Luck
201808;Variable Set-up
200680;Enclosure
200680;Hand Management
200680;Worker Placement
200680;Advantage Token
200680;Automatic Resource Growth
200680;Closed Drafting
200680;Increase Value of Unchosen Resources
200680;Solo / Solitaire Game
200680;Team-Based Game
200680;Turn Order: Claim Action
200680;Variable Player Powers
157354;Auction/Bidding
157354;Constrained Bidding
157354;End Game Bonuses
157354;Hidden Victory Points
157354;Mancala
157354;Modular Board
157354;Set Collection
157354;Square Grid
157354;Take That
157354;Turn Order: Auction
157354;Variable Player Powers
157354;Variable Set-up
157354;Victory Points as a Resource
25613;Action Points
25613;Auction/Bidding
25613;Auction: Dutch
25613;Hand Management
25613;Open Drafting
159675;Automatic Resource Growth
159675;Highest-Lowest Scoring
159675;Income
159675;Set Collection
159675;Solo / Solitaire Game
159675;Turn Order: Claim Action
159675;Turn Order: Progressive
159675;Worker Placement
229853;Area Movement
229853;Rondel
229853;Set Collection
229853;Solo / Solitaire Game
229853;Tile Placement
229853;Track Movement
229853;Variable Set-up
110327;Contracts
110327;Hidden Roles
110327;Increase Value of Unchosen Resources
110327;Ownership
110327;Set Collection
110327;Take That
110327;Turn Order: Claim Action
110327;Worker Placement
121921;Action Queue
121921;Area Movement
121921;Cooperative Game
121921;Dice Rolling
121921;Die Icon Resolution
121921;Events
121921;Hexagon Grid
121921;Map Addition
121921;Movement Points
121921;Narrative Choice / Paragraph
121921;Scenario / Mission / Campaign Game
121921;Solo / Solitaire Game
121921;Tile Placement
121921;Turn Order: Progressive
121921;Variable Player Powers
121921;Worker Placement
171623;Contracts
171623;Dice Rolling
171623;Point to Point Movement
171623;Resource to Move
171623;Turn Order: Claim Action
171623;Variable Player Powers
171623;Variable Set-up
171623;Worker Placement with Dice Workers
62219;Action Queue
62219;Area Majority / Influence
62219;End Game Bonuses
62219;Grid Movement
62219;Hexagon Grid
62219;Map Addition
62219;Open Drafting
62219;Take That
62219;Tile Placement
62219;Turn Order: Claim Action
62219;Variable Player Powers
62219;Worker Placement
366013;Catch the Leader
366013;Deck, Bag, and Pool Building
366013;Hand Management
366013;Race
366013;Simulation
366013;Simultaneous Action Selection
366013;Track Movement
366013;Variable Set-up
68448;Closed Drafting
68448;Hand Management
68448;Neighbor Scope
68448;Set Collection
68448;Simultaneous Action Selection
68448;Variable Player Powers
317985;Area Majority / Influence
317985;Contracts
317985;Events
317985;Point to Point Movement
317985;Tech Trees / Tech Tracks
317985;Worker Placement
231733;Deck, Bag, and Pool Building
231733;Hand Management
231733;Open Drafting
231733;Solo / Solitaire Game
231733;Worker Placement
231733;Worker Placement, Different Worker Types
180263;Area Movement
180263;Cooperative Game
180263;Hand Management
180263;Map Addition
180263;Modular Board
180263;Scenario / Mission / Campaign Game
180263;Solo / Solitaire Game
180263;Storytelling
180263;Variable Player Powers
264220;Area Movement
264220;Campaign / Battle Card Driven
264220;Cooperative Game
264220;Deck, Bag, and Pool Building
264220;Dice Rolling
264220;Hand Management
264220;Map Addition
264220;Modular Board
264220;Narrative Choice / Paragraph
264220;Role Playing
264220;Scenario / Mission / Campaign Game
264220;Solo / Solitaire Game
264220;Storytelling
264220;Variable Player Powers
295770;Campaign / Battle Card Driven
295770;Communication Limits
295770;Cooperative Game
295770;Deck Construction
295770;Deck, Bag, and Pool Building
295770;Grid Movement
295770;Hand Management
295770;Hexagon Grid
295770;Legacy Game
295770;Modular Board
295770;Once-Per-Game Abilities
295770;Scenario / Mission / Campaign Game
295770;Simultaneous Action Selection
295770;Solo / Solitaire Game
295770;Variable Player Powers
236457;Contracts
236457;Open Drafting
236457;Solo / Solitaire Game
236457;Variable Player Powers
236457;Worker Placement
93;Action Drafting
93;Area Majority / Influence
93;Area Movement
93;Auction/Bidding
93;Hand Management
93;Memory
93;Open Drafting
93;Selection Order Bid
93;Simultaneous Action Selection
93;Turn Order: Progressive
93;Turn Order: Stat-Based
279537;Action Points
279537;Deduction
279537;End Game Bonuses
279537;Paper-and-Pencil
279537;Solo / Solitaire Game
279537;Turn Order: Time Track
37111;Area Movement
37111;Dice Rolling
37111;Hand Management
37111;Hidden Roles
37111;Once-Per-Game Abilities
37111;Role Playing
37111;Team-Based Game
37111;Traitor Game
37111;Variable Player Powers
37111;Variable Set-up
37111;Voting
122515;Auction/Bidding
122515;Auction: Fixed Placement
122515;Auction: Multiple Lot
122515;Constrained Bidding
122515;End Game Bonuses
122515;Hexagon Grid
122515;Modular Board
122515;Network and Route Building
122515;Ownership
122515;Set Collection
122515;Tile Placement
122515;Turn Order: Auction
122515;Variable Set-up
122515;Worker Placement
122515;Worker Placement, Different Worker Types
18602;Action Queue
18602;Ownership
18602;Turn Order: Claim Action
18602;Turn Order: Pass Order
18602;Variable Set-up
18602;Worker Placement
225694;Communication Limits
225694;Targeted Clues
225694;Team-Based Game
170042;Contracts
170042;Dice Rolling
170042;Hand Management
170042;Worker Placement
170042;Worker Placement, Different Worker Types
172386;Action Queue
172386;Area Majority / Influence
172386;Deck, Bag, and Pool Building
172386;Hand Management
172386;Investment
172386;Open Drafting
172386;Simultaneous Action Selection
172386;Stock Holding
172386;Turn Order: Claim Action
172386;Variable Player Powers
172386;Worker Placement
155821;Area Majority / Influence
155821;Area Movement
155821;Campaign / Battle Card Driven
155821;Closed Drafting
155821;Hand Management
155821;Interrupts
155821;King of the Hill
155821;Map Addition
155821;Modular Board
155821;Variable Set-up
40834;Deck, Bag, and Pool Building
40834;Delayed Purchase
40834;Hand Management
73439;Area Majority / Influence
73439;Dice Rolling
73439;End Game Bonuses
73439;Events
73439;Hidden Victory Points
73439;Income
73439;Ownership
73439;Set Collection
73439;Solo / Solitaire Game
73439;Turn Order: Progressive
73439;Variable Set-up
73439;Worker Placement with Dice Workers
73439;Worker Placement, Different Worker Types
42;Area Majority / Influence
42;Connections
42;Hand Management
42;Hidden Victory Points
42;Highest-Lowest Scoring
42;Income
42;Set Collection
42;Square Grid
42;Tile Placement
203993;Dice Rolling
203993;Open Drafting
203993;Worker Placement
203993;Worker Placement with Dice Workers
146021;Action Points
146021;Cooperative Game
146021;Dice Rolling
146021;Point to Point Movement
146021;Resource to Move
146021;Role Playing
146021;Solo / Solitaire Game
146021;Stat Check Resolution
146021;Variable Player Powers
163068;Action Points
163068;Action Queue
163068;Catch the Leader
163068;Dice Rolling
163068;Simultaneous Action Selection
163068;Tile Placement
163068;Turn Order: Stat-Based
163068;Worker Placement
163068;Worker Placement, Different Worker Types
269385;Campaign / Battle Card Driven
269385;Cooperative Game
269385;Deck, Bag, and Pool Building
269385;Modular Board
269385;Role Playing
269385;Scenario / Mission / Campaign Game
269385;Solo / Solitaire Game
269385;Stat Check Resolution
269385;Variable Player Powers
12493;Action Points
12493;Area-Impulse
12493;Dice Rolling
12493;Follow
12493;Grid Movement
12493;Hexagon Grid
12493;Increase Value of Unchosen Resources
12493;Modular Board
12493;Player Elimination
12493;Tile Placement
12493;Trading
12493;Variable Phase Order
12493;Variable Player Powers
12493;Voting
144733;End Game Bonuses
144733;Tech Trees / Tech Tracks
144733;Turn Order: Claim Action
144733;Worker Placement
163412;Grid Coverage
163412;Income
163412;Open Drafting
163412;Rondel
163412;Square Grid
163412;Tile Placement
163412;Turn Order: Stat-Based
163412;Turn Order: Time Track
163412;Victory Points as a Resource
102680;Area Movement
102680;Hand Management
102680;Mancala
102680;Open Drafting
102680;Set Collection
205896;Action Drafting
205896;Alliances
205896;Area Majority / Influence
205896;Area Movement
205896;Auction: Sealed Bid
205896;Betting and Bluffing
205896;Closed Drafting
205896;End Game Bonuses
205896;Follow
205896;Force Commitment
205896;Negotiation
205896;Set Collection
205896;Simultaneous Action Selection
205896;Take That
205896;Variable Phase Order
205896;Variable Player Powers
205896;Variable Set-up
218417;Cooperative Game
218417;Deck, Bag, and Pool Building
218417;Hand Management
218417;Open Drafting
218417;Variable Phase Order
218417;Variable Player Powers
36218;Deck, Bag, and Pool Building
36218;Delayed Purchase
36218;Hand Management
36218;Take That
36218;Variable Set-up
281259;Closed Drafting
281259;Grid Coverage
281259;Hidden Victory Points
281259;Income
281259;Open Drafting
281259;Pattern Building
281259;Set Collection
281259;Solo / Solitaire Game
281259;Square Grid
281259;Tile Placement
281259;Turn Order: Stat-Based
256916;Action Retrieval
256916;Advantage Token
256916;Auction: Dutch
256916;Communication Limits
256916;Deck, Bag, and Pool Building
256916;Follow
256916;Hand Management
256916;Movement Points
256916;Network and Route Building
256916;Open Drafting
256916;Point to Point Movement
256916;Set Collection
256916;Team-Based Game
256916;Variable Set-up
233371;Deck, Bag, and Pool Building
233371;Delayed Purchase
233371;Modular Board
233371;Open Drafting
233371;Player Elimination
233371;Point to Point Movement
233371;Push Your Luck
175640;Area Majority / Influence
175640;Variable Phase Order
175640;Worker Placement
178900;Communication Limits
178900;Memory
178900;Push Your Luck
178900;Team-Based Game
172287;Dice Rolling
172287;Set Collection
172287;Variable Player Powers
172287;Worker Placement
198928;Action Points
198928;Cooperative Game
198928;Hand Management
198928;Network and Route Building
198928;Point to Point Movement
198928;Set Collection
198928;Solo / Solitaire Game
198928;Trading
198928;Variable Player Powers
132531;Action Retrieval
132531;Contracts
132531;Deck, Bag, and Pool Building
132531;Dice Rolling
132531;Follow
132531;Simultaneous Action Selection
132531;Variable Phase Order
132531;Variable Player Powers
132531;Worker Placement with Dice Workers
196340;Contracts
196340;End Game Bonuses
196340;Grid Movement
196340;Modular Board
196340;Network and Route Building
196340;Set Collection
196340;Variable Set-up
196340;Worker Placement
196340;Worker Placement, Different Worker Types
4098;Auction/Bidding
4098;Catch the Leader
4098;Connections
4098;Dice Rolling
4098;Loans
4098;Network and Route Building
4098;Pick-up and Deliver
4098;Player Elimination
4098;Scenario / Mission / Campaign Game
4098;Selection Order Bid
4098;Tile Placement
4098;Turn Order: Auction
4098;Victory Points as a Resource
175155;Area Majority / Influence
175155;Area Movement
175155;Card Play Conflict Resolution
175155;Deck, Bag, and Pool Building
175155;Dice Rolling
175155;Hand Management
175155;Modular Board
175155;Order Counters
175155;Variable Player Powers
43015;Action Points
43015;Area Majority / Influence
43015;End Game Bonuses
43015;Network and Route Building
43015;Ownership
43015;Tech Trees / Tech Tracks
266524;Contracts
266524;End Game Bonuses
266524;Modular Board
266524;Solo / Solitaire Game
266524;Track Movement
266524;Turn Order: Claim Action
266524;Worker Placement
263918;Bingo
263918;End Game Bonuses
263918;Grid Coverage
263918;Line Drawing
263918;Paper-and-Pencil
263918;Simultaneous Action Selection
263918;Solo / Solitaire Game
263918;Square Grid
263918;Variable Set-up
217372;Deck, Bag, and Pool Building
217372;Delayed Purchase
217372;Grid Movement
217372;Hand Management
217372;Hexagon Grid
217372;Modular Board
217372;Open Drafting
217372;Race
30549;Action Points
30549;Cooperative Game
30549;Hand Management
30549;Point to Point Movement
30549;Set Collection
30549;Tags
30549;Variable Player Powers
310873;Action Retrieval
310873;Area Movement
310873;Connections
310873;End Game Bonuses
310873;Follow
310873;Grid Movement
310873;Income
310873;Movement Points
310873;Network and Route Building
310873;Resource to Move
